,index,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,0,Punta Arenas,-53.15,-70.9167,59.0,41,40,21.85,CL,02/06/21 13:10
1,1,Richards Bay,-28.783,32.0377,75.31,80,25,8.16,ZA,02/06/21 13:18
2,2,Qaanaaq,77.484,-69.3632,12.22,88,100,8.16,GL,02/06/21 13:16
3,3,Mar del Plata,-38.0023,-57.5575,69.8,64,75,14.97,AR,02/06/21 13:16
4,4,Rikitea,-23.1203,-134.9692,77.65,74,100,12.37,PF,02/06/21 13:15
5,5,Cape Town,-33.9258,18.4232,73.99,68,75,14.97,ZA,02/06/21 13:12
6,6,Tezu,27.9167,96.1667,61.43,31,21,4.03,IN,02/06/21 13:18
7,7,New Norfolk,-42.7826,147.0587,57.99,78,26,1.99,AU,02/06/21 13:16
8,8,Busselton,-33.65,115.3333,59.0,95,100,1.99,AU,02/06/21 13:15
9,9,Bogovarovo,58.9785,47.0246,-5.98,90,100,10.04,RU,02/06/21 13:15
10,10,Albany,42.6001,-73.9662,37.0,59,75,12.66,US,02/06/21 13:11
11,11,Severo-Kuril'sk,50.6789,156.125,20.48,94,100,15.55,RU,02/06/21 13:15
12,12,Ushuaia,-54.8,-68.3,53.6,62,20,23.02,AR,02/06/21 13:15
13,13,Bluff,-46.6,168.3333,53.35,86,23,4.5,NZ,02/06/21 13:15
14,14,Pitimbu,-7.4706,-34.8086,87.8,58,20,10.36,BR,02/06/21 13:16
15,15,Nola,40.922,14.5329,60.01,55,29,3.06,IT,02/06/21 13:18
16,16,Sakakah,29.9697,40.2064,53.6,62,0,12.66,SA,02/06/21 13:18
17,17,Great Yarmouth,52.6083,1.7305,39.2,93,90,17.27,GB,02/06/21 13:18
18,18,Cairns,-16.9167,145.7667,78.8,89,90,1.14,AU,02/06/21 13:14
19,19,Sistranda,63.7256,8.834,23.0,86,75,13.8,NO,02/06/21 13:18
20,20,Alekseyevka,50.6309,38.6903,14.18,90,100,14.38,RU,02/06/21 13:18
21,21,Umm Kaddadah,13.6017,26.6876,64.85,27,0,12.5,SD,02/06/21 13:18
22,22,Hermanus,-34.4187,19.2345,71.01,83,33,1.99,ZA,02/06/21 13:15
23,23,Nikolskoye,59.7035,30.7861,10.4,79,75,15.66,RU,02/06/21 13:16
24,24,Hualmay,-11.0964,-77.6139,75.0,66,90,9.04,PE,02/06/21 13:18
25,25,Bredasdorp,-34.5322,20.0403,69.8,78,27,9.22,ZA,02/06/21 13:14
26,26,Beringovskiy,63.05,179.3167,-8.25,88,1,8.43,RU,02/06/21 13:15
27,27,Torbay,47.6666,-52.7314,36.0,87,90,11.5,CA,02/06/21 13:14
28,28,Khatanga,71.9667,102.5,-36.65,77,0,6.96,RU,02/06/21 13:14
29,29,La Ronge,55.1001,-105.2842,-25.6,62,6,6.91,CA,02/06/21 13:14
30,30,Bambous Virieux,-20.3428,57.7575,80.01,83,40,6.91,MU,02/06/21 13:15
31,31,Williston,48.147,-103.618,-9.99,63,0,1.99,US,02/06/21 13:13
32,32,Wagar,16.1525,36.2032,67.68,28,0,11.03,SD,02/06/21 13:18
33,33,Ovsyanka,55.9575,92.5519,26.6,68,0,6.71,RU,02/06/21 13:18
34,34,Thamaga,-24.6701,25.5397,68.0,100,90,1.14,BW,02/06/21 13:18
35,35,Atar,20.5169,-13.0499,73.4,13,35,17.27,MR,02/06/21 13:15
36,36,Qaqortoq,60.7167,-46.0333,33.8,27,1,18.41,GL,02/06/21 13:18
