,index,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date,Hotel Name
0,40,Tocopilla,-22.092,-70.1979,73.81,53,7,6.33,CL,02/06/21 13:16,Hotel Galvarino
1,51,Beloha,-25.1667,45.05,77.86,81,7,5.68,MG,02/06/21 13:16,NaN
2,54,Cabo San Lucas,22.8909,-109.9124,78.01,56,1,6.91,MX,02/06/21 13:14,Hotel Tesoro Los Cabos
3,78,Noumea,-22.2763,166.4572,77.0,100,0,2.3,NC,02/06/21 13:14,Hôtel Le Lagon
4,121,Castro,-24.7911,-50.0119,76.44,48,0,6.96,BR,02/06/21 13:15,CHACARA BAILLY
5,127,Isangel,-19.55,169.2667,77.49,80,0,3.76,VU,02/06/21 13:16,Volcano Sea View Tree House
6,141,Singarāyakonda,15.25,80.0333,72.5,70,5,6.85,IN,02/06/21 13:19,srinu tiffin shop
7,143,Coahuayana Viejo,18.7333,-103.6833,75.2,64,1,5.03,MX,02/06/21 13:19,Hotel Los Arcos
8,190,Port Blair,11.6667,92.75,78.85,76,4,7.92,IN,02/06/21 13:17,Welcomhotel Bay Island Port Blair
9,227,Socoltenango,16.2167,-92.25,76.28,38,3,7.65,MX,02/06/21 13:19,Canto del Agua Ecolodge
