,index,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,25,Hermanus,-34.4187,19.2345,77.0,67,0,5.01,ZA,02/06/21 04:21
1,35,Poum,-20.2333,164.0167,80.65,70,6,6.44,NC,02/06/21 04:22
2,43,Bredasdorp,-34.5322,20.0403,78.8,53,0,4.61,ZA,02/06/21 04:21
3,73,Bahawalpur,29.4,71.6833,78.39,17,0,7.7,PK,02/06/21 04:24
4,77,Acapulco de Juárez,16.8634,-99.8901,73.74,80,10,3.24,MX,02/06/21 04:20
5,81,Verāval,20.9,70.3667,83.32,29,0,6.82,IN,02/06/21 04:24
6,114,Plettenberg Bay,-34.0527,23.3716,75.85,61,0,6.73,ZA,02/06/21 04:22
7,141,Hong Kong,22.2855,114.1577,73.99,65,0,1.01,HK,02/06/21 04:18
8,154,Umluj,25.0213,37.2685,72.0,44,0,9.48,SA,02/06/21 04:24
9,197,Ulladulla,-35.35,150.4667,75.99,88,0,5.75,AU,02/06/21 04:24
10,250,Batemans Bay,-35.7167,150.1833,72.0,81,0,1.01,AU,02/06/21 04:24
11,253,Contai,21.7786,87.7536,80.87,31,0,9.1,IN,02/06/21 04:25
12,256,Esim,4.8699,-2.2405,83.12,77,4,7.85,GH,02/06/21 04:22
13,293,Tezu,27.9167,96.1667,83.08,14,0,3.85,IN,02/06/21 04:25
14,297,Vao,-22.6667,167.4833,78.33,85,0,8.28,NC,02/06/21 04:20
15,336,Bhainsdehi,21.6467,77.6325,78.91,20,0,8.52,IN,02/06/21 04:22
16,354,Marzuq,14.4,46.4667,81.72,13,0,8.23,YE,02/06/21 04:25
17,368,San Fernando del Valle de Catamarca,-28.4696,-65.7852,73.99,73,4,5.01,AR,02/06/21 04:20
18,389,Takoradze,4.8845,-1.7554,82.49,80,0,7.99,GH,02/06/21 04:25
19,427,Puerto Madero,14.7208,-92.4215,74.23,71,3,3.04,MX,02/06/21 04:25
20,433,Tura,25.5198,90.2201,77.83,28,1,6.71,IN,02/06/21 04:25
21,457,Bonthe,7.5264,-12.505,80.49,70,0,3.27,SL,02/06/21 04:25
22,469,Kédougou,12.5579,-12.1743,75.2,43,0,4.61,SN,02/06/21 04:25
