,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Kapaa,22.0752,-159.319,61.0,82,1,10.36,US,02/06/21 04:21
1,Forsytheganj,52.6333,29.7333,9.28,92,83,7.31,BY,02/06/21 04:24
2,Saint-Philippe,-21.3585,55.7679,87.8,62,40,11.5,RE,02/06/21 04:21
3,Kloulklubed,7.0419,134.2556,77.0,94,90,10.36,PW,02/06/21 04:22
4,Palmer,42.1584,-72.3287,23.0,93,40,10.36,US,02/06/21 04:24
5,Cidreira,-30.1811,-50.2056,66.2,77,89,10.38,BR,02/06/21 04:21
6,Cape Town,-33.9258,18.4232,80.01,64,20,18.41,ZA,02/06/21 04:16
7,Petropavlovsk-Kamchatskiy,53.0452,158.6483,17.6,62,40,2.24,RU,02/06/21 04:24
8,Barcelos,41.5388,-8.6151,50.0,81,20,13.8,PT,02/06/21 04:24
9,Terra Santa,-2.1042,-56.4869,73.92,90,82,2.91,BR,02/06/21 04:24
10,Thinadhoo,0.5333,72.9333,82.09,76,7,15.59,MV,02/06/21 04:21
11,Atuona,-9.8,-139.0333,80.04,78,27,22.17,PF,02/06/21 04:20
12,Paamiut,61.994,-49.6678,20.82,80,16,6.49,GL,02/06/21 04:21
13,Cabo San Lucas,22.8909,-109.9124,60.01,51,24,1.99,MX,02/06/21 04:21
14,Vaini,-21.2,-175.2,78.8,94,75,3.44,TO,02/06/21 04:21
15,Ogaminana,7.5946,6.2248,91.02,36,0,0.74,NG,02/06/21 04:24
16,Mahon,39.8885,4.2658,60.8,82,84,9.22,ES,02/06/21 04:24
17,Jamestown,42.097,-79.2353,19.0,67,40,20.71,US,02/06/21 04:19
18,Hilo,19.7297,-155.09,66.2,77,1,3.44,US,02/06/21 04:21
19,Mataura,-46.1927,168.8643,55.42,86,3,1.3,NZ,02/06/21 04:21
20,Yellowknife,62.456,-114.3525,-40.0,66,1,3.44,CA,02/06/21 04:21
21,Kainantu,-6.2887,145.8655,64.29,94,100,2.24,PG,02/06/21 04:24
22,Hamilton,39.1834,-84.5333,28.4,59,90,9.22,US,02/06/21 04:21
23,Mahébourg,-20.4081,57.7,84.2,70,40,11.5,MU,02/06/21 04:21
24,Da Lat,11.9465,108.4419,70.61,64,100,3.18,VN,02/06/21 04:21
25,Hermanus,-34.4187,19.2345,77.0,67,0,5.01,ZA,02/06/21 04:21
26,Senneterre,48.3835,-77.2328,15.8,86,90,9.22,CA,02/06/21 04:24
27,Camacha,33.0833,-16.3333,57.2,72,40,21.85,PT,02/06/21 04:23
28,Cururupu,-1.8283,-44.8683,77.4,83,90,4.76,BR,02/06/21 04:24
29,Ojinaga,29.5667,-104.4167,53.01,32,1,3.44,MX,02/06/21 04:24
30,Albany,42.6001,-73.9662,25.0,80,75,5.75,US,02/06/21 04:20
31,Capreol,46.706,-80.9225,14.0,79,75,12.66,CA,02/06/21 04:24
32,Rikitea,-23.1203,-134.9692,77.4,73,90,13.04,PF,02/06/21 04:20
33,Provideniya,64.3833,-173.3,8.56,93,94,3.78,RU,02/06/21 04:21
34,Ilulissat,69.2167,-51.1,15.8,27,20,10.36,GL,02/06/21 04:21
35,Poum,-20.2333,164.0167,80.65,70,6,6.44,NC,02/06/21 04:22
36,Ongandjera,-17.8833,15.0667,84.34,40,100,9.15,NA,02/06/21 04:24
37,Ribeira Grande,38.5167,-28.7,59.0,88,75,13.8,PT,02/06/21 04:21
38,Cockburn Town,21.4612,-71.1419,77.52,83,6,18.14,TC,02/06/21 04:24
39,Mahibadhoo,3.7833,72.9667,81.68,73,39,11.39,MV,02/06/21 04:21
40,Dalmatovo,56.26,62.9362,34.95,99,100,16.4,RU,02/06/21 04:24
41,Arraial do Cabo,-22.9661,-42.0278,69.8,94,90,6.91,BR,02/06/21 04:20
42,Negombo,7.2083,79.8358,87.8,66,20,10.36,LK,02/06/21 04:24
43,Bredasdorp,-34.5322,20.0403,78.8,53,0,4.61,ZA,02/06/21 04:21
44,Lichuan,30.3,108.85,50.56,71,85,1.92,CN,02/06/21 04:24
45,Alofi,-19.0595,-169.9187,77.0,94,100,9.22,NU,02/06/21 04:22
46,Geraldton,-28.7667,114.6,84.2,58,90,19.57,AU,02/06/21 04:22
47,Talnakh,69.4865,88.3972,-27.92,81,21,4.9,RU,02/06/21 04:21
48,Port Alfred,-33.5906,26.891,73.99,89,83,4.0,ZA,02/06/21 04:20
49,Ushuaia,-54.8,-68.3,41.0,81,40,6.91,AR,02/06/21 04:20
50,Inta,66.0317,60.1659,-20.02,87,100,11.79,RU,02/06/21 04:24
51,Beyneu,45.3167,55.2,37.42,72,59,28.68,KZ,02/06/21 04:24
52,Yagoua,10.3411,15.2329,83.28,14,53,6.93,CM,02/06/21 04:24
53,Ligayan,4.6533,119.4706,81.77,81,100,12.82,PH,02/06/21 04:24
54,Bluff,-46.6,168.3333,56.03,86,0,6.35,NZ,02/06/21 04:21
55,Bethel,41.3712,-73.414,28.99,46,1,5.75,US,02/06/21 04:20
56,Eina,60.6295,10.5993,10.99,85,0,3.44,NO,02/06/21 04:24
57,Norman Wells,65.282,-126.8329,-40.0,67,20,4.61,CA,02/06/21 04:21
58,Urzhum,57.1141,49.9996,9.36,94,100,13.0,RU,02/06/21 04:24
59,Punta Arenas,-53.15,-70.9167,42.8,70,90,4.61,CL,02/06/21 04:18
60,Castro,-24.7911,-50.0119,51.71,90,0,2.33,BR,02/06/21 04:21
61,Fallon,39.4735,-118.7774,33.01,80,1,6.91,US,02/06/21 04:24
